trancenable_industry,trancenable_sector,your_framework_sector,your_framework_industry,mapping_type,emissions_archetype,confidence_score,notes
Oil & Gas Equipment & Services,Energy,Energy,Oil & Gas Services,extend,Operational Emitter,0.95,Oilfield services and equipment
Oil & Gas Exploration & Production,Energy,Energy,Oil & Gas Extraction,merge,Operational Emitter,0.95,Upstream oil and gas operations
Oil & Gas Refining & Marketing,Energy,Energy,Oil & Gas Refining,extend,Operational Emitter,0.95,Downstream oil and gas operations
Oil & Gas Storage & Transportation,Energy,Energy,Oil & Gas Distribution,extend,Operational Emitter,0.9,Midstream oil and gas operations
Coal & Consumable Fuels,Energy,Energy,Coal Mining,direct,Operational Emitter,1.0,Perfect coal industry match
Renewable Energy,Energy,Energy,Renewable Energy,direct,Lifecycle-dependent,1.0,Perfect renewable energy match
Food & Staples Retailing,Consumer Defensive,Retail,Traditional Retail,merge,Scope 2-heavy,0.9,Food retail operations
Food Products,Consumer Defensive,Consumer Goods,Food & Beverage,merge,Use-phase Dominant,0.95,Food manufacturing and processing
Tobacco,Consumer Defensive,Consumer Goods,Tobacco Products,extend,Use-phase Dominant,0.95,Tobacco production and distribution
Household Products,Consumer Defensive,Consumer Goods,Household & Personal Products,direct,Lifecycle-dependent,0.95,Household cleaning and personal care
Personal Products,Consumer Defensive,Consumer Goods,Household & Personal Products,merge,Lifecycle-dependent,0.9,Personal care and cosmetics
Agriculture,Consumer Defensive,Agriculture,Crop Production,direct,Operational Emitter,0.95,Agricultural production
Forestry,Consumer Defensive,Agriculture,Forestry & Logging,extend,Operational Emitter,0.9,Forest management and logging
Waste Management,Utilities,Energy,Waste Management Services,extend,Operational Emitter,0.9,Waste treatment and disposal
Diversified Metals & Mining,Basic Materials,Manufacturing,Mining & Metals,merge,Operational Emitter,0.9,Diversified mining operations
Industrial Metals & Minerals,Basic Materials,Manufacturing,Mining & Metals,merge,Operational Emitter,0.95,Industrial metal production
Precious Metals & Minerals,Basic Materials,Manufacturing,Mining & Metals,merge,Operational Emitter,0.9,Precious metal mining
Trading Companies & Distributors,Industrials,Manufacturing,Distribution Services,extend,Scope 2-heavy,0.8,Trading and distribution services
Commercial Services & Supplies,Industrials,Financial Services,Professional Services,merge,Scope 2-heavy,0.8,Commercial support services
Professional Services,Industrials,Financial Services,Professional Services,direct,Scope 2-heavy,0.95,Professional consulting services
Research & Consulting Services,Industrials,Financial Services,Professional Services,merge,Scope 2-heavy,0.9,Research and advisory services
Human Resource & Employment Services,Industrials,Financial Services,Professional Services,merge,Scope 2-heavy,0.85,HR and staffing services
Security & Alarm Services,Industrials,Financial Services,Professional Services,merge,Scope 2-heavy,0.8,Security and protection services
Environmental & Facilities Services,Industrials,Financial Services,Professional Services,merge,Scope 2-heavy,0.85,Environmental and facility management
